,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,demande,request
6,genre,kind
7,frère,brother
8,laisse,leash
9,ville,city
10,arrivé,come
11,devrait,should
12,bébé,baby
13,revoir,meet again
14,parle,speak
15,voici,here is
16,affaire,case
17,donner,give
18,leurs,their
19,train,train
20,corps,body
21,endroit,place
22,yeux,eyes
23,écoute,listen
24,trouve,find
25,perdu,lost
26,côté,side
27,pouvoir,power
28,vieux,old
29,tellement,so much
30,enfant,child
31,point,point
32,pardon,sorry
33,venez,come
34,demandé,request
35,chambre,bedroom
36,belle,beautiful
37,droit,law
38,aimerais,would like to
39,cause,cause
40,attendez,Wait
41,nouvelle,new
42,boulot,job
43,terre,Earth
44,compte,account
45,loin,far
46,croire,believe
47,gros,large
48,plutôt,rather
49,jouer,to play
